                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8111,                 3.7556,                 1.7671,                0.12432,                0.11667,                0.08674,                0.06265,                 1.4774,                 3.3739,                 1.5184,                  5e-05,                  5e-05,                  5e-05
                      2,                 1.6264,                 3.5253,                 1.6166,                0.34796,                0.13333,                0.15031,                0.09139,                 1.4021,                  2.912,                 1.5273,             0.00011139,             0.00011139,             0.00011139
                      3,                 1.4448,                 3.1367,                 1.5011,                0.79178,                0.28333,                0.36025,                0.24745,                 1.4625,                 2.4731,                 1.5399,             0.00017154,             0.00017154,             0.00017154
                      4,                 1.3171,                 2.6622,                 1.3905,                0.96865,                0.31667,                 0.5081,                 0.3509,                 1.3677,                 2.0839,                  1.428,             0.00023045,             0.00023045,             0.00023045
                      5,                  1.263,                 2.3516,                  1.338,                 0.8678,                0.54797,                0.59835,                0.41782,                 1.2087,                 1.8295,                 1.3315,             0.00028812,             0.00028812,             0.00028812
                      6,                  1.166,                 2.0936,                 1.2555,                  0.824,                0.60556,                0.63888,                0.43385,                 1.1615,                 1.6694,                 1.3004,             0.00034456,             0.00034456,             0.00034456
                      7,                  1.161,                 1.7596,                 1.2198,                0.49324,                0.73292,                0.59519,                0.39552,                  1.273,                 1.9607,                 1.3899,             0.00039975,             0.00039975,             0.00039975
                      8,                 1.1184,                 1.6532,                 1.2337,                0.63774,                0.73886,                0.72005,                0.45896,                 1.1794,                 1.7138,                 1.2915,             0.00045372,             0.00045372,             0.00045372
                      9,                 1.1469,                 1.4923,                 1.1989,                0.70947,                0.84214,                0.80846,                0.51311,                 1.1932,                  1.606,                 1.2956,             0.00050644,             0.00050644,             0.00050644
                     10,                 1.1294,                 1.3996,                 1.2001,                0.78235,                0.85095,                0.83414,                0.54616,                 1.2138,                 1.4225,                 1.3102,             0.00055793,             0.00055793,             0.00055793
                     11,                  1.107,                 1.3008,                 1.1643,                0.91575,                0.82346,                 0.8736,                0.58154,                 1.1364,                 1.1994,                 1.2412,             0.00060818,             0.00060818,             0.00060818
                     12,                 1.0534,                  1.317,                 1.1789,                0.89579,                0.83219,                0.89174,                0.57982,                 1.1579,                 1.2193,                 1.2568,             0.00065719,             0.00065719,             0.00065719
